OBJECTID,LOCNUM,SALESVOL,X,Y
48,928136134,61525,-122.30929999999992,37.98790000000002
49,230020158,23663,-122.22269999999992,38.13210000000002
50,717089130,35495,-122.27449999999999,38.282600000000045
51,263166704,35495,-122.30789999999996,38.322600000000136
52,404462021,59158,-122.06599999999995,37.97790000000005
53,422509315,36441,-121.84020000000001,38.00820000000003
54,453434045,53716,-122.06879999999995,38.24640000000009
55,481876183,42594,-121.96169999999998,38.361000000000104
56,438188804,35495,-122.73129999999995,38.45910000000006
57,404480171,47327,-124.14419999999996,40.80560000000001
58,230021867,28396,-121.80309999999992,39.72630000000006
59,881023055,28396,-122.34879999999993,40.586600000000104
60,838040616,1506,-122.87799999999999,42.34750000000006
61,202994505,32291,-123.17089999999996,44.04910000000008
62,651176349,21527,-123.04260000000004,44.07280000000004
63,838144814,32291,-123.07799999999996,44.628700000000045
64,699454948,32291,-122.98629999999999,44.939600000000084
65,837700863,32291,-122.99449999999996,45.01230000000007
66,366796134,43054,-122.83929999999995,45.3651000000001
67,397170465,32291,-122.76709999999996,45.33310000000011
68,503008104,27985,-122.78739999999996,45.486500000000106
69,503008286,36596,-122.7782,45.45400000000007
